a	det. 一
sprig	n. 小枝，子孙\nv. 用匍匐茎繁殖
sprightly	adj. 生气勃勃的
spring	n. 春季，弹性，反弹，春天\nv. 跳跃，萌芽，惊起，跳
springtide	n. 大潮
springtime	n. 初期，春天
springy	adj. 泉水多的，有弹性的
sprinkle	n. 洒，少量\nv. 洒，撒，不细雨，喷湿
sprinkler	n. 喷洒器，洒水者
sprint	v. 冲刺
sprite	n. 鬼怪，鬼魂
sprout	n. 幼芽，后裔，新芽\nv. 出芽，长出，发芽
spruce	n. 花旗松，云杉\nv. 欺骗，说谎\nadj. 整洁漂亮的
spry	adj. 充满活力的
spud	n. 除草铲，土豆\nv. 开始钻
spume	n. 泡沫\nv. 起泡沫
spur	n. 刺激，距\nv. 刺激，鼓舞，促进，策马飞驰
spurious	adj. 假的，私生的
spurn	n. 绊跌，踢\nv. 践踏，踢
spurt	n. 喷射流\nv. 喷射，急剧上升
spy	n. 间谍，密探\nv. 看见，侦察出
squabble	n. 争吵\nv. 弄乱，争吵
squad	n. 班，小队\nv. 把...编成班，指派...到班
squadron	n. 骑兵中队，中队
squalid	adj. 肮脏的，卑鄙的
squall	n. 高声喊叫，飑\nv. 尖声高叫，起飑
squalor	n. 肮脏，卑鄙
squander	n. 浪费\nv. 浪费，浪荡
square	n. 正方形，广场，平方，方格\nv. 符合，结清\nadj. 成直角的，正方形的\nadv. 成正方形，成直角
squash	n. 果子汁，挤压，硬挤\nv. 压碎，粉碎，硬放\nadv. 挤压地
squat	n. 蹲，窝\nv. 蹲，坐\nadj. 低矮的，蹲着的
squawk	n. 诉苦，夜鹭\nv. 大声叫出，诉苦
squeak	n. 侥幸逃脱，助手\nv. 告密，勉强通过
squeal	n. 抱怨，火腿\nv. 抱怨，告密
squeamish	adj. 易呕吐的，易受惊的
squeeze	n. 紧握，榨\nv. 压，榨，挤，紧握
squelch	n. 嘎吱声\nv. 压碎，镇压
squib	n. 讽刺短文，小爆竹\nv. 放，信口讲
squint	n. 眯眼，斜视\nv. 眯起，使斜视\nadj. 斜的，斜视的
squirm	n. 蠕动\nv. 局促不安，蠕动
squirrel	n. 松鼠
squirt	n. 喷射，喷射器\nv. 喷射，喷
stab	n. 刺，戳，猛的一击\nv. 刺，刺伤
stability	n. 稳定性，稳定，稳固
stabilize|stabilise	v. 使稳定，稳定
stable	n. 厩，牛棚\nv. 把...拴进厩\nadj. 稳固的，稳定的，固定的，坚定的
stack	n. 大量，排气管\nv. 推放，垛，洗...作弊，形成堆
stadium	n. 露天运动场，体育场
staff	n. 工作人员，棒子，工作班子，全体职员\nv. 雇用
stag	n. 成年牡鹿，幼马\nv. 告发，截短\nadj. 限于男子的\nadv. 无异性陪伴地
stage	n. 舞台，阶段，戏剧\nv. 上演，举办，展现
stagger	n. 斜罩，摇晃\nv. 蹒跚，摇晃，犹豫
stagnant	adj. 不发展的，不活跃的
stagnate	v. 不发展，不流动
stagnation	n. 停滞
stain	n. 污点，瑕疵，染色，色斑\nv. 弄脏，沾污，玷污
stainless	adj. 无瑕的，不锈的，无污点的
stair	n. 楼梯，梯级
staircase	n. 扶手楼梯，楼梯
stairway	n. 楼梯
stake	n. 桩，赌注，赌本\nv. 资助，打赌
stalactite	n. 钟乳石，钟乳石状
stalagmite	n. 石笋，石笋状
stale	n. 尿，笑柄\nv. 低估，撒尿\nadj. 陈旧的，陈腐的，污浊的
stalemate	n. 僵持，无子可动\nv. 使僵持
stalk	n. 主茎，叶柄，柄，茎\nv. 在...蔓延，蔓延
stall	n. 厩，货摊，马厩\nv. 熄火，拖延
stalwart	n. 坚定分子，健壮的人\nadj. 坚定的，强壮的
stamina	n. 体力，耐力\nstamen的复数
stammer	n. 口吃，结巴\nv. 结结巴巴地说话
stamp	n. 邮票，图章，标志，印\nv. 盖章，被捣碎，跺脚
stampede	n. 蜂拥，惊跑\nv. 蜂拥，惊跑
stanch	v. 缓和，使不漏
stanchion	n. 拴牛枷，支柱\nv. 用支柱加固
stand	n. 停住，站立\nv. 站立，坐落，忍受，经受，容忍
standard	n. 标准\nadj. 标准的，普通的
standardize	v. 标准化
standing	n. 地位\nadj. 常务的
standpoint	n. 立场，观点
standstill	n. 停顿，累倒，停止
stank	n. 池子，水沟\nstink的过去式
staple	n. 钉书钉，主要产品，U形钉，订书钉\nv. 把...分级\nadj. 短纤维的，最重要的
stapler	n. 钉书机
star	n. 星，星宿\nv. 主演，用星装饰，当明星
starboard	n. 右舷\nv. 向右转\nadj. 右舷的
starch	n. 淀粉，刻板\nv. 给...上浆
starchy	adj. 淀粉似的，刻板的
stare	n. 惊恐，凝视\nv. 凝视，倒竖
starfish	n. 海星
stark	adj. 僵直的，严格的\nadv. 明显地，完全
starling	n. 掠鸟，分水桩
start	n. 惊跳，开始\nv. 开始，着手，发动，出现，惊动
starter	n. 参赛人，发令员
starting	n. 出发，开始
startle	n. 惊吓\nv. 惊吓，使吃惊，使惊吓
startup	n. 开始\nv. 开始
starvation	n. 饥饿，匮乏
starve	v. 挨饿，渴求，强迫
state	n. 状态，国家，州，心情，形态\nv. 陈述，确定
stateless	adj. 无隆重礼仪的
stately	adj. 宏伟的，威严的\nadv. 宏伟地，威严地
statement	n. 声明，陈述
statesman	n. 政治家，国务活动家，自耕农
static	n. 静电，指责\nadj. 静止的，静态的，静的
statical	adj. 静止的
station	n. 站，台，车站\nv. 驻扎，安置
stationary	adj. 固定的，稳定的，定居的
stationer	n. 书商，文具商
stationery	n. 文具，信笺信封
statistic	n. 统计量
statistical	adj. 统计的
statistics	n. 统计(学)，统计，统计学
statue	n. 雕像，铸像，造型游戏
statuesque	adj. 雕像般的，庄严的
statuette	n. 小雕像
stature	n. 高度，身高
status	n. 形势，身分，地位，法律地位
statute	n. 法令，章程，条例，成文法
statutory	adj. 成文法的，法定的
staunch	adj. 防水的，牢固的
stave	n. 棍，梯级\nv. 打穿，快走
stay	n. 逗留，停止\nv. 停留，暂住，保持，停止，延迟
stead	n. 地方，替代\nv. 对...有用
steadfast	adj. 坚定的
steadily	adv. 稳固地，稳步地，稳健地
steady	n. 固定支架，情侣\nv. 使稳，变稳\nadj. 平稳的，稳健的，惯常的，稳的\nadv. 把定，预备
steak	n. 牛排，排骨，鱼块
steal	n. 偷盗\nv. 偷窃，偷盗，偷垒
stealth	n. 潜入，偷窃
steam	n. 汽，蒸汽，力量，水汽\nv. 蒸，发出，蒸发
steamer	n. 汽船，蒸汽机
steamship	n. 汽船
steamy	adj. 蒸汽的
steel	n. 钢，钢条\nv. 给...包上钢，用刀戳
steely	adj. 钢的，似钢的
steep	n. 陡坡，泡\nv. 陡斜，泡\nadj. 陡峭的，陡的，过高的
steeple	n. 尖顶，锥形体
steer	n. 错误指点，阉公牛\nv. 驾驶，行驶，为...操舵，指导
steerage	n. 操舵，统舱
steersman	n. 舵手
stele	n. 墓碑，石柱
stellar	adj. 明星的，星的
stem	n. 茎，柄，干\nv. 堵住，堵塞
stench	n. 臭气
stencil	n. 复写纸，蜡纸，模版，图案\nv. 用模版印刷
stentorian	adj. 极洪亮的
step	n. 脚步，台阶，步骤，步，步态\nv. 跨，踩
stepfather	n. 继父
stepmother	n. 继母
steppe	n. 大草原，干草原
stepsister	n. 同父异母的姐姐
stereo	n. 立体声，铅版
stereotype	n. 陈规，铅版\nv. 使成为陈规
sterile	adj. 不生育的，消过毒的
sterilize	v. 使绝育，消毒
sterling	n. 标准成分，标准纯银\nadj. 英镑的，英币的
stern	n. 船尾，臀\nadj. 严厉的，坚决的，坚定的，臀的
stet	v. 在...下加注不删
stevedore	n. 码头工人，装卸工，装卸公司\nv. 装卸，当装卸工
stew	n. 炖菜，混杂物，妓院\nv. 炖，煮，不安
steward	n. 乘务员，男仆，管家\nv. 当乘务员
stewardess	n. 女乘务员，空姐，女管家
stick	n. 枝，杆，手杖，棍，木条\nv. 扎，刺，停留
sticker	n. 贴纸，标签
sticky	adj. 黏的，困难的，湿热的，粘的
stiff	n. 死尸，醉汉\nadj. 僵硬的，生硬的，绷紧的，硬的\nadv. 僵硬地，完全地
stiffen	v. 使变硬，变硬
stifle	n. 后膝关节\nv. 藏匿，扼杀，使窒息
stigma	n. 耻辱，特征
stigmatize	v. 指责
stiletto	n. 打眼锥，短剑
still	v. 静止，渗出\nadj. 静止的，平静的\nadv. 仍旧，还是，还要
stillness	n. 寂静，静止，平静
stilt	n. 长脚鹬，高跷\nv. 使踩高跷
stimulant	n. 刺激物
stimulate	v. 刺激，使兴奋
stimulation	n. 刺激
stimulus	n. 刺激，螫毛
sting	n. 刺痛，刺，灼痛\nv. 刺，叮，灼痛
stingy	adj. 吝啬的，窄的
stink	n. 恶臭，化学\nv. 发出恶臭，惹人讨厌\nadj. 臭的
stint	n. 定量，节省\nv. 节省，停止
stipulate	v. 合同规定，约定，规定，确定
stipulation	n. 规定
stir	n. 骚动，拨动，活跃\nv. 搅拌，激起，拨动，惊动
stirring	adj. 动人的
stitch	n. 一针，缝法\nv. 缝合，缝，联接
stock	n. 存货，股份，砧木，主干，储备\nv. 贮存，备货，发肿
stockade	n. 防波围桩，栅栏\nv. 用栅栏围起
stocking	n. 长袜
stockpile	n. 储备物资，料堆\nv. 把...堆成堆，储备
stocky	adj. 一本正经的
stodgy	adj. 身体笨重的
stoke	v. 煽起，准备
stoker	n. 加煤机，生火工
stole	n. 长袍，圣带\nsteal的过去式
stolid	adj. 不动感情的
stomach	n. 胃，胃口\nv. 承受，吃下
stone	n. 石头，石料，宝石，界石，磨石\nv. 向...扔石块，用石铺
stonemason	n. 石工
stoneware	n. 粗陶器
stony	adj. 石头多的，多石的，石头色的
stool	n. 凳子，搁脚凳\nv. 诱捕，长新芽
stoop	n. 俯身，柱\nv. 弯腰，屈从，俯身，前倾
stop	n. 停止，阻塞\nv. 停止，终止，阻塞\ncome to a stop停下来
stopcock	n. 管闩
stopgap	n. 补缺者，权宜之计
stoppage	n. 停付，停止
stopper	n. 停止者，阻塞物\nv. 塞住
stopwatch	n. 秒表
storage	n. 贮藏，货栈，贮藏库
store	n. 商店，储存，大量\nv. 贮藏，储备，装满
storey	n. 楼层
storm	n. 暴风雨，暴怒，风暴，狂风\nv. 强击，暴怒
stormy	adj. 有暴风雨的，暴躁的，激烈的
story	n. 故事，小说，经历，情节
stout	n. 胖子\nadj. 肥胖的，结实的，勇子的
stove	n. 炉子，火炉
stow	v. 装载，理舱，储藏，剪
stowage	n. 装载
stowaway	n. 收藏物，逃票乘客
straddle	n. 叉腿，观望态度\nv. 叉开，骑
straggle	n. 散乱\nv. 掉队，蔓延
straight	adj. 直的，整齐的\nadv. 笔直地，立即，直
straighten	v. 弄直，整理，变直
straightforward	adj. 直爽的
strain	n. 品质，系\nv. 拉紧，扭伤，使紧张，被扭
strait	n. 海峡，地峡\nadj. 困难的，狭窄的\nadv. 狭窄地
straiten	v. 限制
strand	n. (绳)股，缕，岸，串\nv. 搁浅，搓
strange	adj. 奇怪的，陌生的，外地的
stranger	n. 新人，陌生人，生手\nstrange的比较级
strangle	v. 扼死，扼住
strap	n. 带，皮带，襻\nv. 约束，被捆
stratagem	n. 策略
strategic	adj. 战略的
strategist	n. 战略家
strategy	n. 战略，策略，计谋
stratum	n. 层，地层
straw	n. 麦杆，稻草，吸管，禾秆，麦秆吸管\nadj. 稻草色的，禾秆的
strawberry	n. 草莓，林石草
stray	n. 迷路者，天电干扰\nv. 迷路，偏离\nadj. 走失的，迷路的，杂散的
streak	n. 纹理，条纹，光带，矿脉\nv. 飞跑，形成条纹
streaky	adj. 不均匀的，忧虑的
stream	n. 小溪，流，河\nv. 流，飞奔
streamer	n. 横幅，流光
streamline	n. 流线型，流线\nv. 精简，使现代化，组织
street	n. 大街，街，街区
streetcar	n. 有轨电车
strength	n. 力气，力量，强度，力
strengthen	v. 加强，巩固，变强
strenuous	adj. 费劲的，紧张的
stress	n. 强调，压力，应力\nv. 重读，着重
stretch	n. 伸展，舒展，延伸\nv. 伸展，拉长，拉直，舒展
stretcher	n. 担架，扩展器
strew	v. 传布，撒
strict	adj. 严格的，精确的，完全的
strictly	adv. 严格地，绝对
stricture	n. 狭窄，限制
stride	n. 阔步，步态，大步\nv. 跨过，跨越\nadv. 阔步走
strife	n. 冲突，争斗，奋力，纷争
strike	n. 罢工，打\nv. 打，攻击，罢工，敲
striker	n. 打铁助手，敲击者
striking	adj. 引人注目的
string	n. 细绳，弦，一串，串，牵线\nv. 缚，开球
stringent	adj. 短缺的，紧迫的
stringy	adj. 细绳状的，有筋的
strip	n. 窄条，条\nv. 剥，剥去，脱去
stripe	n. 条纹，抽打\nv. 给...划条纹
stripling	n. 青年
strive	v. 努力，奋斗，斗争，竞争
stroke	n. 敲，笔划，一次\nv. 抚摸，划去，敲击
stroll	n. 散步，闲逛\nv. 沿...散步，散步
stroller	n. 散步者
strong	adj. 强壮的，强烈的，极大的\nadv. 强烈地，强有力地
stronghold	n. 堡垒，要塞，大本营
strongly	adv. 强烈地，强有力地
structural	adj. 结构的，组织上的，建筑的
structure	n. 结构，构造，组织，机构\nv. 建立，建筑
struggle	n. 斗争，奋斗\nv. 斗争，奋斗
strum	n. 弹拨，弹拨声\nv. 弹，弹拨
strut	n. 高视阔步，支柱\nv. 炫耀，膨胀
stub	n. 残段，存根\nv. 掐灭，使碰踢
stubble	n. 残株，茬
stubborn	adj. 顽固的，倔强的，顽强的
stubby	adj. 短而粗的
stucco	n. 粉饰灰泥，拉毛粉饰\nv. 用拉毛粉饰法粉饰
stud	n. 饰钉，饰钮，种马\nv. 使散布，装饰
student	n. 学生，研究人员，学者
studio	n. 画室，工作间，音乐教室，射影棚
studious	adj. 故意的，勤学的
study	n. 学习，研究，学科\nv. 记住，学习，研究
stuff	n. 材料，东西，料子，物品\nv. 塞满，填没，饱食
stuffy	adj. 闷热的，不透气的，沉闷的，塞的
stultify	v. 使显得愚蠢
stumble	n. 绊脚，失足\nv. 绊跌，使绊脚，绊脚
stump	n. 树桩，残茬，残余部分，树墩\nv. 清除...中的根茬
stumpy	adj. 多树墩的，树墩似的
stun	n. 打昏\nv. 把...打昏，使震惊
stunt	n. 矮株病，发育不良\nv. 阻止
stuntman	n. 特技替身演员
stupefy	v. 麻醉
stupendous	adj. 惊人的
stupid	adj. 愚蠢的，迟钝的，麻木的，无聊的
stupidity	n. 愚蠢
stupor	n. 昏迷，麻痹
sturdy	adj. 健壮的，坚定的，强壮的
stutter	n. 结巴\nv. 结结巴巴地响起
style	n. 风格，时尚，作风，派头，样式\nv. 叫
stylish	adj. 新式的
stylist	n. 时装设计师
stylistic	adj. 风格的
stylus	n. 唱针，铁笔
suave	adj. 温和的，温文的
sub	n. 潜艇，部下\nv. 编辑，审订
subdivide	v. 细分，再分，剖分
subdue	v. 战胜，征服，减轻，抑制
subheading	n. 副标题
subject	n. 题目，学科，主语\nv. 使臣服，提供\nadj. 臣服的，需要...的
subjection	n. 屈从，征服
subjective	n. 人格，主观\nadj. 主观的，个人的
subjugate	v. 压住，征服
subjunctive	adj. 虚拟的
sublet	n. 转租\nv. 转租入，转租
sublime	v. 使纯化，升华\nadj. 超群的，高尚的
submarine	n. 潜水艇，潜艇，水底装置\nv. 低身穿插，低手投球\nadj. 海底的，潜艇的，水下的
submerge	v. 浸没，淹没，湮没
submission	n. 谦卑，屈服
submissive	adj. 顺从的
submit	v. 服从，呈交，建议，提交
subordinate	adj. 下级的，辅助的
subordination	n. 服从
subscribe	v. 订购，订阅，签，认捐
subscriber	n. 订阅者，签署的
subscription	n. 预订，订购
subsequence	n. 后果
subsequent	adj. 以后的，后起的，后成的，随后的
subsequently	adv. 后来，其后
subside	v. 平静，退落
subsidiary	n. 辅佐者\nadj. 辅助的，次要的，隶属的
subsidize|subsidise	v. 给...津贴
subsidy	n. 财政援助，津贴
subsist	v. 成立，存在
substance	n. 物质，实质
substantial	adj. 可观的，实质的
substantiate	v. 证实
substitute	n. 代替物，代替\nv. 代替，代用品，接替
substitution	n. 代替
subtitle	n. 对白字幕，副标题
subtle	adj. 敏锐的，微妙的，细微的
subtract	v. 减去，减，减少
subtraction	n. 减法，减去
suburb	n. 郊区，郊外，边缘
suburban	adj. 郊区的
subversive	adj. 颠覆性的
subvert	v. 颠覆，搅乱
subway	n. 地铁，地下过道，市区地铁
succeed	v. 成功，后继，接替
success	n. 成功，发迹
successful	adj. 成功的，有成就的
successfully	adv. 成功地
succession	n. 接连，继任，接替，连续
successive	adj. 接连的，连续的，接替的
successor	n. 继承人，继任者，接替人
succour	n. 解救，解救物\nv. 解除，解救
succumb	v. 被压垮，屈服
such	adj. 这样的，如此的，那么的，这种的
suck	n. 吸，吸食\nv. 吮，咂，吸，吸食
sucker	n. 吮吸者，吸血鬼，吸盘\nv. 欺骗
suckle	v. 吮吸，养育
suction	n. 吸，吸力
sudden	adj. 突然的，意外的，迅速的
suddenly	adv. 突然，忽然
sue	v. 控告，请求
suffer	v. 遭受，受苦，忍受，经受
sufferance	n. 忍受，容忍
suffering	n. 苦难
suffice	v. 足够，满足需要，使满足
sufficient	adj. 充足的，充分的，自负的，足够的
sufficiently	adv. 充分地，足够地
suffix	n. 后缀，下标\nv. 加...作后缀
suffocate	v. 扼制，窒息
suffrage	n. 投票，选举权
suffuse	v. 弥漫于
sugar	n. 糖，食糖
sugarcane	n. 甘蔗
suggest	v. 建议，暗示，意思是
suggestion	n. 建议，示意，暗示
suggestive	adj. 提示的，挑动色情的
suicide	n. 自杀，自杀者\nv. 自杀
suit	n. 一身西服，起诉，套，衣服\nv. 适合，合适
suitable	adj. 合适的，适宜的，类似的
suitcase	n. 手提箱，小提箱
suite	n. 随员，一套(房间)，房间，家具
suitor	n. 起诉者，请愿的
sulk	n. 生气\nv. 生气
sulky	n. 两轮车辆\nadj. 懒散的，生气的
sullen	adj. 板着脸的，沉闷的，阴沉的
sully	n. 污点\nv. 弄脏，变脏
sultry	adj. 闷热的，急躁的
sum	n. 总数，会计，和\nv. 总结，共计
summarize	v. 概括，总结，作总结
summary	n. 概要，顶点，总结\nadj. 概括的
summat	pron. 某个东西，某件事情
summer	n. 夏季，夏，大梁\nv. 夏季放牧，过夏天
summit	n. 顶峰，最高点
summon	n. 召唤，召集\nv. 传讯，召唤
summons	n. 传唤，召唤\nv. 把传票送达
sumptuous	adj. 奢侈的
sun	n. 太阳，阳光，恒星，日光\nv. 晒，晒太阳
sunburn	n. 日灼，晒斑\nv. 晒黑，晒伤，被晒伤
sundae	n. 圣代高脚杯
sunday	n. 星期日，星期天
sundial	n. 日规，羽扇豆
sundown	n. 日没，西方
sundry	n. 额外得分\npron. 各种各样的人\nadj. 杂项的
sunflower	n. 葵花，向日葵，向日葵黄
sunlight	n. 阳光，日光
sunny	adj. 向阳的，晴朗的，乐观的，像太阳的
sunrise	n. 日出，晨曦，东方
sunset	n. 日落，日没，晚霞
sunshade	n. 阳伞，遮阳
sunshine	n. 日照，日光，光明
sunstroke	n. 日射病，中暑
sup	n. 量，一啜\nv. 吸收，喝
super	adj. 特级的，超级的，极端的，特大的\nadv. 过分地，十分
superb	adj. 华丽的，超等的，极度的，极好的
superficial	adj. 表面的，肤浅的
superfine	adj. 太好的，特级的
superhuman	adj. 超人的
superintendent	n. 管理人，负责人
superior	n. 上级，占优势者\nadj. 优良的，上级的，较大的，较高的
superiority	n. 优越(性)
supermarket	n. 超级市场
superpower	n. 超级大国，国上之国
supersede	v. 代替，接替，替代
supersonic	n. 超声波\nadj. 超音速的，超声的，极快的
